"UID","Study","Location","Sex","Age","Trial","Odor","Forced"
"F_1","Field","Tate","Male","50+",1,"peppermint","coffee"
"F_1","Field","Tate","Male","50+",2,"orange","orange"
"F_1","Field","Tate","Male","50+",3,"garlic","garlic"
"F_1","Field","Tate","Male","50+",4,"rose","leather"
"F_1","Field","Tate","Male","50+",5,"fish","fish"
"F_1","Field","Southwark","Male","50+",1,"rose","vanilla"
"F_1","Field","Southwark","Male","50+",2,"orange","orange"
"F_1","Field","Southwark","Male","50+",3,"fish","fish"
"F_1","Field","Southwark","Male","50+",4,"garlic","garlic"
"F_1","Field","Southwark","Male","50+",5,"peppermint","vanilla"
"F_1","Field","Borough","Male","50+",1,"fish","ham"
"F_1","Field","Borough","Male","50+",2,"peppermint","vanilla"
"F_1","Field","Borough","Male","50+",3,"rose","peppermint"
"F_1","Field","Borough","Male","50+",4,"garlic","garlic"
"F_1","Field","Borough","Male","50+",5,"orange","orange"
"F_2","Field","Tate","Female","Under_50",1,"rose","rose"
"F_2","Field","Tate","Female","Under_50",2,"garlic","garlic"
"F_2","Field","Tate","Female","Under_50",3,"orange","chewing gum"
"F_2","Field","Tate","Female","Under_50",4,"peppermint","peppermint"
"F_2","Field","Tate","Female","Under_50",5,"fish","fish"
"F_2","Field","Southwark","Female","Under_50",1,"fish","fish"
"F_2","Field","Southwark","Female","Under_50",2,"peppermint","peppermint"
"F_2","Field","Southwark","Female","Under_50",3,"orange","chewing gum"
"F_2","Field","Southwark","Female","Under_50",4,"garlic","garlic"
"F_2","Field","Southwark","Female","Under_50",5,"rose","rose"
"F_2","Field","Borough","Female","Under_50",1,"fish","fish"
"F_2","Field","Borough","Female","Under_50",2,"peppermint","peppermint"
"F_2","Field","Borough","Female","Under_50",3,"orange","cheing gum"
"F_2","Field","Borough","Female","Under_50",4,"rose","rose"
"F_2","Field","Borough","Female","Under_50",5,"garlic","garlic"
"F_3","Field","Tate","Female","Under_50",1,"rose","vanilla"
"F_3","Field","Tate","Female","Under_50",2,"garlic","fish"
"F_3","Field","Tate","Female","Under_50",3,"orange","lemon"
"F_3","Field","Tate","Female","Under_50",4,"peppermint","peppermint"
"F_3","Field","Tate","Female","Under_50",5,"fish","fish"
"F_3","Field","Southwark","Female","Under_50",1,"peppermint","menthol"
"F_3","Field","Southwark","Female","Under_50",2,"fish","fish"
"F_3","Field","Southwark","Female","Under_50",3,"orange","orange"
"F_3","Field","Southwark","Female","Under_50",4,"rose","liquorice"
"F_3","Field","Southwark","Female","Under_50",5,"garlic","leather"
"F_3","Field","Borough","Female","Under_50",1,"garlic","cheese"
"F_3","Field","Borough","Female","Under_50",2,"rose","liquorice"
"F_3","Field","Borough","Female","Under_50",3,"orange","orange"
"F_3","Field","Borough","Female","Under_50",4,"peppermint","peppermint"
"F_3","Field","Borough","Female","Under_50",5,"fish","fish"
"F_5","Field","Tate","Female","Under_50",1,"garlic","garlic"
"F_5","Field","Tate","Female","Under_50",2,"rose","rose"
"F_5","Field","Tate","Female","Under_50",3,"fish","fish"
"F_5","Field","Tate","Female","Under_50",4,"orange","orange"
"F_5","Field","Tate","Female","Under_50",5,"peppermint","peppermint"
"F_5","Field","Southwark","Female","Under_50",1,"fish","fish"
"F_5","Field","Southwark","Female","Under_50",2,"rose","rose"
"F_5","Field","Southwark","Female","Under_50",3,"garlic","garlic"
"F_5","Field","Southwark","Female","Under_50",4,"peppermint","menthol"
"F_5","Field","Southwark","Female","Under_50",5,"orange","orange"
"F_5","Field","Borough","Female","Under_50",1,"rose","rose"
"F_5","Field","Borough","Female","Under_50",2,"peppermint","menthol"
"F_5","Field","Borough","Female","Under_50",3,"orange","orange"
"F_5","Field","Borough","Female","Under_50",4,"garlic","garlic"
"F_5","Field","Borough","Female","Under_50",5,"fish","fish"
"F_6","Field","Tate","Male","Under_50",1,"peppermint","peppermint"
"F_6","Field","Tate","Male","Under_50",2,"garlic","onion"
"F_6","Field","Tate","Male","Under_50",3,"fish","garlic"
"F_6","Field","Tate","Male","Under_50",4,"orange","orance"
"F_6","Field","Tate","Male","Under_50",5,"rose","rose"
"F_6","Field","Southwark","Male","Under_50",1,"rose","chamomile"
"F_6","Field","Southwark","Male","Under_50",2,"fish","fish"
"F_6","Field","Southwark","Male","Under_50",3,"orange","orange"
"F_6","Field","Southwark","Male","Under_50",4,"peppermint","peppermint"
"F_6","Field","Southwark","Male","Under_50",5,"garlic","garlic"
"F_6","Field","Borough","Male","Under_50",1,"orange","peach"
"F_6","Field","Borough","Male","Under_50",2,"garlic","garlic"
"F_6","Field","Borough","Male","Under_50",3,"rose","rose"
"F_6","Field","Borough","Male","Under_50",4,"peppermint","peppermint"
"F_6","Field","Borough","Male","Under_50",5,"fish","fish"
"F_7","Field","Tate","Female","Under_50",1,"peppermint","peppermint"
"F_7","Field","Tate","Female","Under_50",2,"rose","onion"
"F_7","Field","Tate","Female","Under_50",3,"orange","lemon"
"F_7","Field","Tate","Female","Under_50",4,"garlic","onion"
"F_7","Field","Tate","Female","Under_50",5,"fish","fish"
"F_7","Field","Southwark","Female","Under_50",1,"peppermint","peppermint"
"F_7","Field","Southwark","Female","Under_50",2,"garlic","onion"
"F_7","Field","Southwark","Female","Under_50",3,"orange","orange"
"F_7","Field","Southwark","Female","Under_50",4,"rose","rose"
"F_7","Field","Southwark","Female","Under_50",5,"fish","fish"
"F_7","Field","Borough","Female","Under_50",1,"rose","rose"
"F_7","Field","Borough","Female","Under_50",2,"fish","fish"
"F_7","Field","Borough","Female","Under_50",3,"garlic","garlic"
"F_7","Field","Borough","Female","Under_50",4,"peppermint","peppermint"
"F_7","Field","Borough","Female","Under_50",5,"orange","orange"
"F_8","Field","Tate","Female","Under_50",1,"garlic","garlic"
"F_8","Field","Tate","Female","Under_50",2,"peppermint","peppermint"
"F_8","Field","Tate","Female","Under_50",3,"rose","rose"
"F_8","Field","Tate","Female","Under_50",4,"orange","orange"
"F_8","Field","Tate","Female","Under_50",5,"fish","fish"
"F_8","Field","Southwark","Female","Under_50",1,"fish","fish"
"F_8","Field","Southwark","Female","Under_50",2,"peppermint","peppermint"
"F_8","Field","Southwark","Female","Under_50",3,"rose","rose"
"F_8","Field","Southwark","Female","Under_50",4,"garlic","garlic"
"F_8","Field","Southwark","Female","Under_50",5,"orange","orange"
"F_8","Field","Borough","Female","Under_50",1,"orange","orange"
"F_8","Field","Borough","Female","Under_50",2,"garlic","garlic"
"F_8","Field","Borough","Female","Under_50",3,"peppermint","peppermint"
"F_8","Field","Borough","Female","Under_50",4,"fish","fish"
"F_8","Field","Borough","Female","Under_50",5,"rose","rose"
"F_9","Field","Tate","Male","Under_50",1,"orange","orange"
"F_9","Field","Tate","Male","Under_50",2,"peppermint","peppermint"
"F_9","Field","Tate","Male","Under_50",3,"rose","cinnamon"
"F_9","Field","Tate","Male","Under_50",4,"garlic","garlic"
"F_9","Field","Tate","Male","Under_50",5,"fish","glue"
"F_9","Field","Southwark","Male","Under_50",1,"orange","orange"
"F_9","Field","Southwark","Male","Under_50",2,"garlic","garlic"
"F_9","Field","Southwark","Male","Under_50",3,"rose","chewing gum"
"F_9","Field","Southwark","Male","Under_50",4,"peppermint","no smell"
"F_9","Field","Southwark","Male","Under_50",5,"fish","glue"
"F_9","Field","Borough","Male","Under_50",1,"garlic","garlic"
"F_9","Field","Borough","Male","Under_50",2,"rose","glue"
"F_9","Field","Borough","Male","Under_50",3,"fish","smoke"
"F_9","Field","Borough","Male","Under_50",4,"peppermint","peppermint"
"F_9","Field","Borough","Male","Under_50",5,"orange","orange"
"F_10","Field","Tate","Female","Under_50",1,"peppermint","peppermint"
"F_10","Field","Tate","Female","Under_50",2,"fish","fish"
"F_10","Field","Tate","Female","Under_50",3,"orange","cookies"
"F_10","Field","Tate","Female","Under_50",4,"rose","rose"
"F_10","Field","Tate","Female","Under_50",5,"garlic","garlic"
"F_10","Field","Southwark","Female","Under_50",1,"garlic","garlic"
"F_10","Field","Southwark","Female","Under_50",2,"peppermint","peppermint"
"F_10","Field","Southwark","Female","Under_50",3,"orange","orange"
"F_10","Field","Southwark","Female","Under_50",4,"fish","fish"
"F_10","Field","Southwark","Female","Under_50",5,"rose","rose"
"F_10","Field","Borough","Female","Under_50",1,"rose","rose"
"F_10","Field","Borough","Female","Under_50",2,"fish","fish"
"F_10","Field","Borough","Female","Under_50",3,"orange","orange"
"F_10","Field","Borough","Female","Under_50",4,"garlic","garlic"
"F_10","Field","Borough","Female","Under_50",5,"peppermint","peppermint"
"F_11","Field","Tate","Female","Under_50",1,"orange","none"
"F_11","Field","Tate","Female","Under_50",2,"rose","none"
"F_11","Field","Tate","Female","Under_50",3,"fish","fish"
"F_11","Field","Tate","Female","Under_50",4,"garlic","garlic"
"F_11","Field","Tate","Female","Under_50",5,"peppermint","peppermint"
"F_11","Field","Southwark","Female","Under_50",1,"fish","fish"
"F_11","Field","Southwark","Female","Under_50",2,"garlic","garlic"
"F_11","Field","Southwark","Female","Under_50",3,"peppermint","peppermint"
"F_11","Field","Southwark","Female","Under_50",4,"rose","chamomile"
"F_11","Field","Southwark","Female","Under_50",5,"orange","orange"
"F_11","Field","Borough","Female","Under_50",1,"peppermint","peppermint"
"F_11","Field","Borough","Female","Under_50",2,"garlic","garlic"
"F_11","Field","Borough","Female","Under_50",3,"fish","fish"
"F_11","Field","Borough","Female","Under_50",4,"rose","rose"
"F_11","Field","Borough","Female","Under_50",5,"orange","orange"
"F_12","Field","Tate","Male","Under_50",1,"peppermint","peppermint"
"F_12","Field","Tate","Male","Under_50",2,"rose","liquorice"
"F_12","Field","Tate","Male","Under_50",3,"fish","smoke"
"F_12","Field","Tate","Male","Under_50",4,"garlic","onion"
"F_12","Field","Tate","Male","Under_50",5,"orange","orange"
"F_12","Field","Southwark","Male","Under_50",1,"orange","chewing gum"
"F_12","Field","Southwark","Male","Under_50",2,"garlic","garlic"
"F_12","Field","Southwark","Male","Under_50",3,"peppermint","chewing gum"
"F_12","Field","Southwark","Male","Under_50",4,"rose","aniseed"
"F_12","Field","Southwark","Male","Under_50",5,"fish","fish"
"F_12","Field","Borough","Male","Under_50",1,"fish","fish"
"F_12","Field","Borough","Male","Under_50",2,"garlic","garlic"
"F_12","Field","Borough","Male","Under_50",3,"rose","liquorice"
"F_12","Field","Borough","Male","Under_50",4,"peppermint","peppermint"
"F_12","Field","Borough","Male","Under_50",5,"orange","orange"
"F_13","Field","Tate","Male","Under_50",1,"orange","orange"
"F_13","Field","Tate","Male","Under_50",2,"rose","wood"
"F_13","Field","Tate","Male","Under_50",3,"fish","fish"
"F_13","Field","Tate","Male","Under_50",4,"peppermint","peppermint"
"F_13","Field","Tate","Male","Under_50",5,"garlic","garlic"
"F_13","Field","Southwark","Male","Under_50",1,"garlic","garlic"
"F_13","Field","Southwark","Male","Under_50",2,"rose","blackberry"
"F_13","Field","Southwark","Male","Under_50",3,"orange","strawberry"
"F_13","Field","Southwark","Male","Under_50",4,"peppermint","peppermint"
"F_13","Field","Southwark","Male","Under_50",5,"fish","fish"
"F_13","Field","Borough","Male","Under_50",1,"peppermint","peppermint"
"F_13","Field","Borough","Male","Under_50",2,"garlic","garlic"
"F_13","Field","Borough","Male","Under_50",3,"rose","strawberry"
"F_13","Field","Borough","Male","Under_50",4,"orange","blackberry"
"F_13","Field","Borough","Male","Under_50",5,"fish","fish"
"F_14","Field","Tate","Female","Under_50",1,"fish","fish"
"F_14","Field","Tate","Female","Under_50",2,"rose","blackberry"
"F_14","Field","Tate","Female","Under_50",3,"orange","orange"
"F_14","Field","Tate","Female","Under_50",4,"peppermint","menthol"
"F_14","Field","Tate","Female","Under_50",5,"garlic","garlic"
"F_14","Field","Southwark","Female","Under_50",1,"orange","orange"
"F_14","Field","Southwark","Female","Under_50",2,"garlic","garlic"
"F_14","Field","Southwark","Female","Under_50",3,"rose","cherry"
"F_14","Field","Southwark","Female","Under_50",4,"peppermint","peppermint"
"F_14","Field","Southwark","Female","Under_50",5,"fish","fish"
"F_14","Field","Borough","Female","Under_50",1,"fish","fish"
"F_14","Field","Borough","Female","Under_50",2,"garlic","garlic"
"F_14","Field","Borough","Female","Under_50",3,"peppermint","peppermint"
"F_14","Field","Borough","Female","Under_50",4,"rose","honey"
"F_14","Field","Borough","Female","Under_50",5,"orange","rose"
"F_15","Field","Tate","Male","Under_50",1,"orange","orange"
"F_15","Field","Tate","Male","Under_50",2,"rose","NA"
"F_15","Field","Tate","Male","Under_50",3,"peppermint","peppermint"
"F_15","Field","Tate","Male","Under_50",4,"garlic","garlic"
"F_15","Field","Tate","Male","Under_50",5,"fish","fish"
"F_15","Field","Southwark","Male","Under_50",1,"fish","garlic"
"F_15","Field","Southwark","Male","Under_50",2,"orange","orange"
"F_15","Field","Southwark","Male","Under_50",3,"peppermint","peppermint"
"F_15","Field","Southwark","Male","Under_50",4,"rose","cherry"
"F_15","Field","Southwark","Male","Under_50",5,"garlic","garlic"
"F_15","Field","Borough","Male","Under_50",1,"fish","fish"
"F_15","Field","Borough","Male","Under_50",2,"peppermint","orange"
"F_15","Field","Borough","Male","Under_50",3,"rose","orange"
"F_15","Field","Borough","Male","Under_50",4,"garlic","garlic"
"F_15","Field","Borough","Male","Under_50",5,"orange","cherry"
"F_16","Field","Tate","Male","Under_50",1,"rose","rose"
"F_16","Field","Tate","Male","Under_50",2,"fish","fish"
"F_16","Field","Tate","Male","Under_50",3,"garlic","garlic"
"F_16","Field","Tate","Male","Under_50",4,"orange","liquorice"
"F_16","Field","Tate","Male","Under_50",5,"peppermint","chewing gum"
"F_16","Field","Southwark","Male","Under_50",1,"fish","fish"
"F_16","Field","Southwark","Male","Under_50",2,"rose","rose"
"F_16","Field","Southwark","Male","Under_50",3,"orange","orange"
"F_16","Field","Southwark","Male","Under_50",4,"peppermint","chewing gum"
"F_16","Field","Southwark","Male","Under_50",5,"garlic","garlic"
"F_16","Field","Borough","Male","Under_50",1,"orange","orange"
"F_16","Field","Borough","Male","Under_50",2,"fish","fish"
"F_16","Field","Borough","Male","Under_50",3,"rose","rose"
"F_16","Field","Borough","Male","Under_50",4,"garlic","garlic"
"F_16","Field","Borough","Male","Under_50",5,"peppermint","chewing gum"
"F_17","Field","Tate","Female","Under_50",1,"fish","fish"
"F_17","Field","Tate","Female","Under_50",2,"peppermint","peppermint"
"F_17","Field","Tate","Female","Under_50",3,"orange","none"
"F_17","Field","Tate","Female","Under_50",4,"garlic","onion"
"F_17","Field","Tate","Female","Under_50",5,"rose","rose"
"F_17","Field","Southwark","Female","Under_50",1,"garlic","onion"
"F_17","Field","Southwark","Female","Under_50",2,"peppermint","chewing gum"
"F_17","Field","Southwark","Female","Under_50",3,"fish","fish"
