"Study","UID","Location","Age","Sex","Trial","Odor","Free"
"Field","F_1","Tate","50+","Male",1,"peppermint","coffee/chocolate"
"Field","F_1","Tate","50+","Male",2,"orange","orange"
"Field","F_1","Tate","50+","Male",3,"garlic","garlic"
"Field","F_1","Tate","50+","Male",4,"rose","leather"
"Field","F_1","Tate","50+","Male",5,"fish","fish"
"Field","F_1","Southwark","50+","Male",1,"rose","citric/smokey"
"Field","F_1","Southwark","50+","Male",2,"orange","orange"
"Field","F_1","Southwark","50+","Male",3,"fish","fish"
"Field","F_1","Southwark","50+","Male",4,"garlic","garlic"
"Field","F_1","Southwark","50+","Male",5,"peppermint","vanilla"
"Field","F_1","Borough","50+","Male",1,"fish","smoke/meat"
"Field","F_1","Borough","50+","Male",2,"peppermint","vanilla"
"Field","F_1","Borough","50+","Male",3,"rose","peppermint"
"Field","F_1","Borough","50+","Male",4,"garlic","garlic"
"Field","F_1","Borough","50+","Male",5,"orange","orange"
"Field","F_2","Tate","Under_50","Female",1,"rose","floral"
"Field","F_2","Tate","Under_50","Female",2,"garlic","garlic"
"Field","F_2","Tate","Under_50","Female",3,"orange","coca cola, haribo"
"Field","F_2","Tate","Under_50","Female",4,"peppermint","peppermint"
"Field","F_2","Tate","Under_50","Female",5,"fish","fish"
"Field","F_2","Southwark","Under_50","Female",1,"fish","fishy"
"Field","F_2","Southwark","Under_50","Female",2,"peppermint","peppermint"
"Field","F_2","Southwark","Under_50","Female",3,"orange","coca cola"
"Field","F_2","Southwark","Under_50","Female",4,"garlic","garlic"
"Field","F_2","Southwark","Under_50","Female",5,"rose","floral"
"Field","F_2","Borough","Under_50","Female",1,"fish","fish"
"Field","F_2","Borough","Under_50","Female",2,"peppermint","peppermint but stronger"
"Field","F_2","Borough","Under_50","Female",3,"orange","sweets"
"Field","F_2","Borough","Under_50","Female",4,"rose","rose but stronger than before"
"Field","F_2","Borough","Under_50","Female",5,"garlic","garlic"
"Field","F_3","Tate","Under_50","Female",1,"rose","lavender"
"Field","F_3","Tate","Under_50","Female",2,"garlic","meaty"
"Field","F_3","Tate","Under_50","Female",3,"orange","citric"
"Field","F_3","Tate","Under_50","Female",4,"peppermint","peppermint"
"Field","F_3","Tate","Under_50","Female",5,"fish","fish"
"Field","F_3","Southwark","Under_50","Female",1,"peppermint","menthol"
"Field","F_3","Southwark","Under_50","Female",2,"fish","fish"
"Field","F_3","Southwark","Under_50","Female",3,"orange","orange"
"Field","F_3","Southwark","Under_50","Female",4,"rose","lavender"
"Field","F_3","Southwark","Under_50","Female",5,"garlic","leather, wood, smokey"
"Field","F_3","Borough","Under_50","Female",1,"garlic","cheese"
"Field","F_3","Borough","Under_50","Female",2,"rose","lavender"
"Field","F_3","Borough","Under_50","Female",3,"orange","orange"
"Field","F_3","Borough","Under_50","Female",4,"peppermint","peppermint"
"Field","F_3","Borough","Under_50","Female",5,"fish","fish"
